# DATA=SAXS
0.315326E-01 0.113996E-01 0.000179753
0.335033E-01 0.112942E-01 0.000222985
0.354740E-01 0.113789E-01 0.000143851
0.374447E-01 0.112850E-01 0.000170956
0.394153E-01 0.114788E-01 0.000145091
0.413859E-01 0.111476E-01 0.000170552
0.433565E-01 0.112371E-01 0.000149635
0.453271E-01 0.110056E-01 0.000158558
0.472976E-01 0.110278E-01 0.00014593
0.492682E-01 0.109172E-01 0.000115754
0.512387E-01 0.106503E-01 0.000138746
0.532091E-01 0.108604E-01 0.000129661
0.551796E-01 0.106810E-01 0.000120863
0.571500E-01 0.108952E-01 0.000128166
0.591204E-01 0.105573E-01 0.000120469
0.610907E-01 0.105049E-01 0.00012258
0.630610E-01 0.106576E-01 0.000118264
0.650313E-01 0.103617E-01 9.0516e-05
0.670016E-01 0.103709E-01 0.000117725
0.689718E-01 0.102400E-01 0.000112308
0.709420E-01 0.102283E-01 0.000116633
0.729121E-01 0.100354E-01 9.82237e-05
0.748822E-01 0.101154E-01 0.000108495
0.768523E-01 0.998530E-02 0.000109736
0.788223E-01 0.993656E-02 0.000105075
0.807923E-01 0.986412E-02 0.000120777
0.827622E-01 0.973455E-02 8.5785e-05
0.847321E-01 0.973584E-02 0.000106125
0.867020E-01 0.956429E-02 9.88043e-05
0.886718E-01 0.953867E-02 9.93549e-05
0.906416E-01 0.945540E-02 9.76191e-05
0.926113E-01 0.919465E-02 9.49329e-05
0.945809E-01 0.927428E-02 9.52695e-05
0.965506E-01 0.917168E-02 0.000124065
0.985201E-01 0.911910E-02 9.42644e-05
0.100490E+00 0.900943E-02 0.000111503
0.102459E+00 0.879529E-02 8.51142e-05
0.104428E+00 0.884229E-02 8.8214e-05
0.106398E+00 0.871942E-02 9.88552e-05
0.108367E+00 0.862382E-02 0.000103959
0.110336E+00 0.847277E-02 0.000101106
0.112306E+00 0.852327E-02 0.000102379
0.114275E+00 0.818614E-02 8.43224e-05
0.116244E+00 0.835697E-02 0.000102962
0.118213E+00 0.830869E-02 0.000117473
0.120182E+00 0.803004E-02 0.000104619
0.122151E+00 0.799498E-02 9.17817e-05
0.124119E+00 0.780918E-02 0.000106777
0.126088E+00 0.767080E-02 8.1522e-05
0.128057E+00 0.772370E-02 9.32458e-05
0.130025E+00 0.766075E-02 8.34883e-05
0.131994E+00 0.748870E-02 0.000117951
0.133962E+00 0.732579E-02 7.96915e-05
0.135931E+00 0.744908E-02 7.01184e-05
0.137899E+00 0.736026E-02 7.76079e-05
0.139867E+00 0.724763E-02 8.71777e-05
0.141836E+00 0.711380E-02 7.35486e-05
0.143804E+00 0.710084E-02 7.10783e-05
0.145772E+00 0.694198E-02 8.52367e-05
0.147740E+00 0.697665E-02 8.02696e-05
0.149708E+00 0.676232E-02 7.654e-05
0.151675E+00 0.657370E-02 6.97483e-05
0.153643E+00 0.666967E-02 7.35447e-05
0.155611E+00 0.641828E-02 8.11606e-05
0.157578E+00 0.648344E-02 6.12384e-05
0.159546E+00 0.638794E-02 7.62977e-05
0.161513E+00 0.624534E-02 7.18184e-05
0.163481E+00 0.631289E-02 6.68997e-05
0.165448E+00 0.617983E-02 7.53369e-05
0.167415E+00 0.607120E-02 7.44934e-05
0.169382E+00 0.586078E-02 7.70596e-05
0.171349E+00 0.582101E-02 6.46351e-05
0.173316E+00 0.577545E-02 6.87784e-05
0.175283E+00 0.558720E-02 7.81541e-05
0.177249E+00 0.566771E-02 7.80814e-05
0.179216E+00 0.565365E-02 6.12223e-05
0.181182E+00 0.546836E-02 7.25972e-05
0.183149E+00 0.529692E-02 7.0424e-05
0.185115E+00 0.528796E-02 5.8724e-05
0.187081E+00 0.524770E-02 6.26505e-05
0.189047E+00 0.521064E-02 5.86816e-05
0.191013E+00 0.524049E-02 7.26913e-05
0.192979E+00 0.500521E-02 6.39251e-05
0.194945E+00 0.497782E-02 7.69325e-05
0.196911E+00 0.492320E-02 6.36585e-05
0.198876E+00 0.481889E-02 6.24396e-05
0.200842E+00 0.479331E-02 7.14724e-05
0.202807E+00 0.469825E-02 5.7813e-05
0.204773E+00 0.460307E-02 4.85191e-05
0.206738E+00 0.440184E-02 6.43539e-05
0.208703E+00 0.453565E-02 7.38014e-05
0.210668E+00 0.440068E-02 6.50846e-05
0.212633E+00 0.430294E-02 7.5082e-05
0.214597E+00 0.438687E-02 7.1976e-05
0.216562E+00 0.426617E-02 6.63475e-05
0.218527E+00 0.406482E-02 6.34477e-05
0.220491E+00 0.417233E-02 5.99649e-05
0.222455E+00 0.408051E-02 6.30292e-05
0.224420E+00 0.393861E-02 5.58772e-05
0.226384E+00 0.388976E-02 4.98213e-05
0.228348E+00 0.395628E-02 5.89341e-05
0.230311E+00 0.380939E-02 7.45945e-05
0.232275E+00 0.388918E-02 6.29526e-05
0.234239E+00 0.367725E-02 6.42614e-05
0.236202E+00 0.362503E-02 6.85838e-05
0.238165E+00 0.353492E-02 6.21659e-05
0.240129E+00 0.365628E-02 6.8267e-05
0.242092E+00 0.346081E-02 6.42119e-05
0.244055E+00 0.345217E-02 4.85976e-05
0.246017E+00 0.339385E-02 5.72704e-05
0.247980E+00 0.341023E-02 5.76042e-05
0.249943E+00 0.339172E-02 6.18133e-05
0.251905E+00 0.322528E-02 4.64576e-05
0.253868E+00 0.324178E-02 4.81124e-05
0.255830E+00 0.320077E-02 5.87564e-05
0.257792E+00 0.322883E-02 5.84432e-05
0.259754E+00 0.312673E-02 5.81583e-05
0.261715E+00 0.303857E-02 6.01884e-05
0.263677E+00 0.296988E-02 5.94327e-05
